comment,label
"Đọc tựa đề cứ tưởng cá mập trắng xử đẹp được cá voi nên vào coi hóng clip, ai dè...Mà cũng công nhận 2 nhân viên cứu hộ trong bài viết vững tim thật.",neutral
Loại này sống để chửi,toxic
"Đây cũng là cuộc sống mơ ước của nhiều người ở Sài Gòn đó, kể cả tầng lớp trung lưu",neutral
Mình nghĩ cái này liên quan đến kim tự tháp ai cập-> hình học không gian thì có thể sẽ có đáp án,neutral
Nội dung chữa lành khiến mình thấy ấm lòng - cảm hứng #165,positive
"Sante-Fe nhiều lần được bầu chọn là xe SUV tốt nhất năm tại nhiều thị trường, trong đó ít nhất 3 năm liên tiếp tại Mỹ. Còn Lux SA ? Mua phụ tùng đắt ngang mua phụ tùng xe Đức !",negative
50 tuổi có tập môn này được không vậy ? Dạo này bụng to quá ! ,neutral
"Hay chạy và chạy đường xấu, đường dốc thì lấy Attrage MT mà đi. Chứ mấy con xe hạng A, B dùng hộp số CVT thì không ổn cả độ bền lẫn an toàn.",neutral
"Vậy rồi có bồi thường sức khoẻ, thương tật cho người ta không hay thu hồi sản phẩm rồi thôi?",neutral
Cha nào con nấy,neutral
Cầm thú cũng không ác độc bằng hai chị em mụ này,toxic
Mình cảm thấy thất vọng vì trải nghiệm vừa rồi - tâm trạng #932,negative
Hollywood mau tận dụng cảnh này đóng phim khỏi dựng cảnh.,neutral
sợ thật ăn bám tận 20 năm.chưa ai làm được điều này,toxic
"Đọc tiêu đề tưởng ý thức tốt, không ngờ cũng có tranh giành nhể.",neutral
Cảm ơn vì đã lan tỏa yêu thương đến mọi người - cảm hứng #2049,positive
Dịch vụ kém xa kỳ vọng khiến mình rất bực - tâm trạng #663,negative
"Hiện tại 13h ngày 17/9 trên biểu đồ vệ tinh thấy mây nát ra quá trời rồi, khả năng bão sẽ không mạnh như dự báo! Hi vọng sẽ bão sẽ tan đến khi cập bờ chỉ còn là những trận mưa có vũ lượng tương đối thoii.",neutral
Mọi thứ đang trở nên tệ hại hơn mỗi ngày - tâm trạng #80,negative
Người phụ nữ đặc biệt và phong cách.,neutral
Thật đau lòng khi đọc những tin tức như thế - tâm trạng #68,negative
"Quan trọng mãnh đất đó trong sổ đỏ ai là người đứng tên, nếu anh bạn đứng tên là người đại diện thì bạn ko có cửa để chia nếu cha hoặc mẹ bạn là người đứng tên thì bạn có phần",neutral
"việc làm của các bạn thật ý nghĩa, chúc các bạn được nhiều sức khỏe và hạnh phúc! Xin cám ơn nhóm rất nhiều",positive
Đúng là từ khi lọt lòng đã ngậm thìa vàng. Chỉ riêng giá trị những món đồ mang trên người cô bé đã khiến nhiều người tích lũy cả đời cũng không có được.,neutral
"Cách bơi hai cá giống nhau, nhưng động cơ trái nhau: cá heo hứng thú vui chơi, còn - Tommy đang chịu ảnh hưởng của hormone và giận dữ. (Sấu vẫn hoàn sấu thôi)",neutral
Thật đáng buồn khi mọi thứ diễn ra như vậy - tâm trạng #371,negative
"Chỉ 1 từ để nói "" buồn"" .",negative
"Phong cách làm việc tuyệt hảo, mong các bạn tiếp tục - cảm hứng #1826",positive
"Đầu năm học mới mà nghe tin thật đau lòng quá, xin chia buồn gđ các cháu",negative
"Sau khi cách ly 15 ngày mới dương tính (sau khi lần 1 âm tính), thế mà dự định chỉ cách ly 6 ngày!!! Như vậy chẳng khác nào chơi trốn tìm với Covid?! Nguy hiểm quá! Khẩn xin cơ quan xem xét lại và kéo dài thời gian cách ly tập trung tối thiểu 14 ngày cho dân đỡ lo.",negative
Với tôi bài hát Đi Về Nơi Xa mới là bài hit nổi tiếng và gắn liền với Tên của Đan Trường.,neutral
Cái não để làm cảnh à?,toxic
"Phong cách làm việc tuyệt hảo, mong các bạn tiếp tục - cảm hứng #2236",positive
Cứ tưởng chỉ trong các phim viễn tưởng mới có .,neutral
"tham gia BHNT rất tốt bạn nên tham gia lúc còn trẻ vì phí tham gia ít nhưng số tiền được bảo hiểm cao, nếu bạn để vài năm nữa mới tham gia thì phí sẽ tăng hơn mà số tiền được bảo hiểm lại không còn vào thời điểm hiện tại, bởi vì, 1 hợp đồng BHNT thì trị giá của hợp đồng phụ thuộc các yếu tố của người được bảo hiểm: (i) tuổi, tuổi càng lớn thì phí bảo hiểm càng cao; (ii) giới tính, (iii) nghề nghiệp, do có những ngành nghề nguy hiểm => phí bảo hiểm sẽ cao;BHNT nên mua lúc chưa cần vì khi tới lúc bạn muốn mua thì có thể công ty BH sẽ từ chối bán cho dù bạn có trả phí cao; để cân bằng và không áp lực cho người tham gia BHNT bạn chỉ nên trích 10%-15% thu nhập của bạn để tham bảo hiểm, ví dụ thu nhập hàng tháng của bạn là 10 triệu => 1 năm thu nhập của bạn là 120 triệu thì bạn chỉ nên dành 12-18 triệu/năm (để dành 1 - 1,5 triệu/tháng) để tham gia BHNT; sau này nếu như thu nhập bạn tăng thêm và có nhu cầu bảo vệ cao hơn thì bạn tham gia thêm 1 hay nhiều hợp đồng; sau thời gian bạn cam kết đóng phí với công ty bảo hiểm (ví dụ: bạn cam kết đóng phí 10 năm cho hợp đồng của bạn thì ít nhất sau 10 năm bạn sẽ được nhận lại toàn số phí bảo hiểm bạn đã đóng + 1 khoản lãi nhỏ);bạn nên hạn chế so sánh bảo hiểm nhân thọ với gửi tiết kiệm, bởi vì 02 loại hình này bản chất khác nhau hoàn toàn, 1 cái là tiết kiệm có bảo vệ (bảo hiểm nhân thọ) 1 cái là tiết kiệm nhưng không có bảo vệ (gửi tiết kiệm) nên mua BHNT có LỢI chứ không LỜI đâu.",negative
Không thể tin được là lại xảy ra chuyện này - tâm trạng #957,negative
Đợt này mở bay quốc tế rồi nên không thể tránh khỏi nguồn lây nhiễm covid vào nước ta nên mọi người hãy chấp hành tuyệt đối việc đeo khẩu trang nhé,positive
"Một ngày tồi tệ, mong mọi chuyện sớm khá hơn - tâm trạng #595",negative
"Thành kính tiễn biệt ông ! Cháu từng xem nhiều lần bộ phim Vợ Chồng A Phủ và cảm thấy rất yêu thích, nhưng không hề biết để hoàn thành được vai diễn A Phủ ông kỳ công đến như vậy! Xin cảm ơn ông đã đã có những đóng góp lớn lao cho điện ảnh nước nhà. Kính chúc ông được an nghỉ nơi cõi vĩnh hằng!",positive
"Một ngày tồi tệ, mong mọi chuyện sớm khá hơn - tâm trạng #235",negative
Điện mặt trời trong những năm gần đây do tiến bộ công nghệ nên giá đầu tư đã thấp hơn nhiều so với trước . Thực sự đã thu hút được các nguồn vốn tư nhân và là cứu cánh cho điện lực việt nam trong những năm tới (thiếu hụt đầu tư điện và sản lượng điện ) ! :VN:,negative
Thật đáng buồn khi mọi thứ diễn ra như vậy - tâm trạng #1411,negative
"Soluto đẹp mà bác, rẻ hơn 20tr thích lắp gì thì lắp, tài chính ổn thì cứ chọn bản full mà quất",negative
Nhìn nhiều thịt hơn con tôm tích,neutral
"Mới 18t mà đã có bằng đại học rồi, quá ngưỡng mộ.",neutral
Bão ơi dừng lại nhé. Mong lắm luôn.,neutral
"Mou không thay đổi được, lợi ích cá nhân cao hơn lợi ích đội bóng",neutral
Quá nhiều bất công khiến lòng người chán nản - tâm trạng #36,negative
"Sẽ tốn rất nhiều tiền để sửa biển hiệu, namecard cho doanh nghiệp và các cá nhân",neutral
Tôi hy vọng Tổng Thống Mỹ và Phu Nhân nhanh chóng khỏi bệnh vượt qua căn bệnh COVID 19 để lái con thuyền nước Mỹ thêm nhiệm kỳ này.,neutral
Chưa nói lên được điều gì hết cả... Nhưng chắc chắn TQ hoặc Nga sẽ hoàn thành trước Mỹ.,neutral
"Bán vậy thà bán M10 giá tầm 150tr+ cầu thủ không ngon lành hơn sao. Níu kéo làm gì khi tình cảm bị sứt mẻ, fan M10.",toxic
"VNEXPRESS THÔNG TIN NHANH, BÌNH LUẬN SÂU!",neutral
Mọi thứ ngày càng đầy. Chỉ có thanh xuân ngày càng vơi bớt...,neutral
Dịch vụ kém xa kỳ vọng khiến mình rất bực - tâm trạng #503,negative
Thật tự hào khi thấy sản phẩm Việt chất lượng như vậy - cảm hứng #1277,positive
Messi góp 1 siêu phẩm hôi pen trong thế trận 1 chiều để lấy thống kê quen thuộc.,neutral
"Vậy giấy tờ tùy thân, hồ sơ các thứ đi theo phải xử lý ntn a?",neutral
"Phải vậy chứ. CLB có HLV trưởng phải có tôn ti trật tự, và mọi người phải tôn trọng điều đó. Chứ ai như cái rạp xiếc, ông nào nhanh tay, cướp được mic thì ông đó làm HLV trưởng. Còn ông mang danh HLV trưởng thì lại bị biến thành gã hề. Có đội bóng nào mà cầu thủ vừa đá vừa chỉ tay năm ngón như HLV cả mùa không. Có, đó là gánh xiếc phường chèo mang tên 28",toxic
"Bạn có 500 triệu gửi ngân hàng, nếu chẳng may mắc bệnh hiểm nghèo 500 triệu đó chưa chắc đã đủ điều trị. Nhưng nếu chỉ cần trích 10%, tức là 50 triệu tham bảo hiểm nhân thọ thì bạn đã có quỹ dự phòng ốm đau, bệnh tật, tai nạn lên đến cả tiền tỷ. Có phải ai tham gia bảo hiểm cũng tử vong đâu mà bạn cho rằng cha mẹ mình không cần nhận số tiền bồi thường của bạn. Nếu gặp rủi ro mà mất khả năng làm việc thì 500 triệu có đủ nuôi sống bạn suốt đời không? Lúc đó có khi cha mẹ bạn lại phải bán nhà, bán tài sản vì bạn đấy! Còn nếu bạn tử vong, được bảo hiểm bồi thường tiền tỷ mà cha mẹ bạn không cần nhận thì hãy tặng số tiền đó cho một trung tâm nuôi dưỡng trẻ mồ côi hoặc bệnh nhân đang điều trị bệnh hiểm nghèo để tạo phúc bạn nhé!",neutral
"When started getting itchy feet, i could leave my seat then walk around the mall, just window shopping but my feet felt relaxed much.Câu này em đặt vậy có đúng k ạ cô ?",negative
"Một cô sinh viên có nghị lực kiên cường, mới 20 tuổi, đang bị ốm, nằm dưới lòng đất 83 tiếng đồng hồ.Thật khâm phục!",neutral
"Dịch vụ chuyên nghiệp và tận tâm, cảm ơn rất nhiều - cảm hứng #962",positive
"Sau li hôn phụ nữ mới là người chịu thiệt thòi,có vẻ Hoài Lâm thì như ngược lại nhỉ ?",toxic
"Dịch vụ chuyên nghiệp và tận tâm, cảm ơn rất nhiều - cảm hứng #172",positive
Với các điều kiện và tiêu chí của bạn thì nên chọn i10 là phù hợp nhất nhé.,neutral
Đặt lịch khám ngay hôm nay để hưởng ưu đãi - ưu đãi #439,spam
Mua ngay combo dưỡng da chỉ 99k số lượng có hạn - ưu đãi #62,spam
Thật sự lo lắng cho tương lai nếu cứ tiếp tục - tâm trạng #424,negative
"Chiến binh báo đen đã ra đi nhưng ""ý chí, tinh thần báo đen"" thì còn mãi. RIP!",neutral
bé may mắn quá,neutral
Nhận quà tặng bí mật khi để lại số điện thoại - ưu đãi #625,spam
Trải nghiệm xuất sắc vượt kỳ vọng - cảm hứng #2603,positive
