text,label
"This place is amazing! Highly recommend visiting it.","positive"
"The service was wonderful and the staff were very friendly.","positive"
"I had a great time here, would definitely come back.","positive"
"Beautiful scenery and a peaceful atmosphere.","positive"
"Excellent experience, truly unforgettable.","positive"
"The worst experience ever. Avoid this place at all costs.","negative"
"Extremely disappointed with the service and the quality.","negative"
"Not worth the money. Very expensive and poor management.","negative"
"The place was dirty and the staff were rude.","negative"
"Terrible trip, everything went wrong.","negative"
"You are a bunch of idiots! This place is garbage.","toxic"
"Shut up and stop lying. Your service is pathetic and you are losers.","toxic"
"I hate this place and everyone working here. Go to hell.","toxic"
"What a crappy and useless destination. Total waste of time.","toxic"
"You guys suck and should be ashamed of yourself.","toxic"
"CLICK HERE TO WIN A FREE IPHONE! http://bit.ly/spam-link","spam"
"Get cheap flights and hotel discounts now at www.scam-travel.com","spam"
"Earn $5000 a week working from home! Sign up at our website.","spam"
"Check out my profile for hot deals and adult content!","spam"
"Limited time offer! Buy 1 get 1 free on all luxury tours. Subscribe now!","spam"
"The food was okay, but not something I would crave again.","neutral"
"It was an average experience, nothing special.","neutral"
"The location is convenient, but the facilities are basic.","neutral"
"It was fine, just a standard tour.","neutral"
"A typical destination for a quick visit.","neutral"
"I spent a couple of hours here, it was alright.","neutral"
"Not great, not bad, just in the middle.","neutral"
"Decent place for a short break during the road trip.","neutral"
"The experience was as expected, no surprises.","neutral"
"It's a regular park like many others in the city.","neutral"
"What the hell is this junk? Absolutely disgusting behavior.","toxic"
"This is a total fraud. You're trying to scam everyone.","toxic"
"I'll make sure no one ever comes here again, you piece of trash.","toxic"
"Your company is a joke and your employees are incompetent.","toxic"
"Stop spamming my feed with this nonsense, you morons.","toxic"
"Visit our store for 50% off on all items! www.fake-shop.com","spam"
"Join our community and get paid to write reviews! http://earn-money.co","spam"
"Your account has been compromise. Login here to fix it: http://phish-me.net","spam"
"Buy followers and likes for your social media! Reliable service.","spam"
"Free voucher for the first 100 people! Just leave your email below.","spam"
"The weather was nice, which made the trip enjoyable.","positive"
"Friendly tour guides and interesting historical facts.","positive"
"A hidden gem! So glad we found this place.","positive"
"Great value for money, perfect for families.","positive"
"Very organized and clean. A top-notch destination.","positive"
"The bus was late and the air conditioning didn't work.","negative"
"Food poisoning after eating at the restaurant. Be careful!","negative"
"Overpriced and overrated. Don't believe the photos.","negative"
"They canceled my booking at the last minute without a refund.","negative"
"The noise level was unbearable, couldn't sleep at all.","negative"
"This place is absolute shit. Don't waste your time.","toxic"
"The staff are fucking rude and incompetent.","toxic"
"You are a bitch for charging so much for this crap.","toxic"
"Stop lying you asshole, the service was terrible.","toxic"
"What a loser company, everything is a mess.","toxic"
"This is total bullshit, I want my money back.","toxic"
"You suck! Your service is pathetic.","toxic"
